,0
DWCF,0.00015325135605290946
AD09X,9.368438923694044e-06
MXEF,0.00015631724566923116
LBUSTRUU,0.0001571901059368519
BNDGLB,0.0001655906613135525
STCGUSRE,-8.177734390772828e-05
SREITGL,-7.87169923031053e-05
SPGTIND,0.00011309938494674944
SPGSCI,6.830512399101684e-05
HFRXAR,-1.066285747468811e-05
SPLPEQTY,-0.00019237318405058334
TRVCI,0.0005908019887919959
IADMGOLD,0.00033074776092679276
SPVXSTR,-0.0019500819556175558
SPX,0.00014207028378559444
MXUSMC,0.00016585061371401656
RTY,8.932856094638088e-05
ASX,-7.792929086308304e-06
MXEU,-5.259586126588479e-05
TPX,-0.00015453183938960203
MXASJ,0.0002466760357038582
NDEUCHF,0.0005760313180549449
IDCOTCTR,0.00015633356563265734
CY00,0.0001765734379658412
IBOXIG,0.00019839242323847246
U0A0,0.00014805433666057998
SPBDU1ST,0.00018975756427280137
GUKG10,-0.001163969296371054
GECU10YR,-0.001246516944561443
