DWCF,0.0001998210458052992
AD09X,0.000173030180851021
MXEF,0.000240086958933098
LBUSTRUU,6.055296473533609e-06
BNDGLB,7.221287453521209e-06
STCGUSRE,0.0005094639967742888
SREITGL,0.00023806912298724063
SPGTIND,0.0001472871354609372
SPGSCI,0.0002630572297507715
HFRXAR,3.259218247028093e-06
SPLPEQTY,0.00031431147302547866
TRVCI,0.000293483240531913
IADMGOLD,0.00015610749323445203
SPVXSTR,0.0014763661949683917
SPX,0.00019405337905376127
MXUSMC,0.00025015892488778897
RTY,0.00030285632644324716
ASX,0.00016061282765267507
MXEU,0.00019227869097783733
TPX,0.0002626276696579683
MXASJ,0.00024559369929456567
NDEUCHF,0.0004249618036976923
IDCOTCTR,8.561839923951777e-06
CY00,1.0064576738116228e-05
IBOXIG,1.4525811924330436e-05
U0A0,4.783480181396432e-06
SPBDU1ST,2.560614281334324e-05
GUKG10,0.002938327891153737
GECU10YR,0.0022718032876089204
